id,titulo,personaje_principal,personajes_secundarios,tipo_contenido,plataforma,objetivo,hipotesis,estado,prioridad,dificultad_produccion,reutilizable,fecha_ultima_publicacion,fuente,formato,categoria,bloqueado_canon,estado_operacion_normalizado,estado_canon_normalizado,asset_ref_confirmado,asset_ref_candidato,reconciliacion_estado,reconciliacion_confianza,reconciliacion_fuente,reconciliacion_nota,registro_relacionado,drive_reference_id,meta_publication_id,meta_permalink,asset_set
CNT-001,Mi gato: tarotista (meme-to-reel),@char_USM_universe,,Reel / Meme adaptado,"Instagram, Facebook, TikTok",Reutilizar contenido viral de Facebook a formato Reel vertical,,Reutilizable (pendiente de revisión de continuidad),Alta,Baja (ya generado en Flow),Sí,"2026-07-29 (generado, no publicado)",08_Production/Reels/Reel_001.md,"9:16, ~9s, 3 shots",Humor / Meme,Sí — pendiente revisión de continuidad,Reuse_Candidate,Canon_Review_Required,,,No_Confirmed_Match,None,,No se encontró una coincidencia explícita CNT↔260 en el repositorio o en la búsqueda de Drive utilizada para este lote.,,,,,
CNT-002,Wilfred reseña su propio peluche,@char_USM_wilfred,@char_USM_universe,Reel / Sección recurrente,"Instagram, TikTok, YouTube Shorts",Lanzar sección recurrente '¿Qué me llegó?' + afiliación Mercado Libre,,Pendiente de producción,Alta,"Media (4 shots, contraste de estilos)",Sí (formato recurrente),2026-07-30 14:16:47+0000,08_Production/Reels/Reel_002.md,"9:16, ~14s, 4 shots",Humor / Reseña / Comerciar,No,Production_Pending,Canon_Clear_or_Unverified,,,Resolved_Production_Set,High,"Meta Graph API post 1036844829507460_122143141185072582; https://www.facebook.com/reel/911880681976378/; Drive candidate set: 1ovw39lQ-DrQ8TFc8Tje_onkown_TTWAZ, 1rbYxyQoaIVLXTioJ-db1_nfDmtzCQbnN, 1cdso5Jm0aTOMcWGSB-_uDQNeOxNBS_P8","El post real de CNT-002 fue identificado en Meta. El análisis shot-by-shot muestra un reel de 17.39 s: gato llevando caja de Mercado Libre, Wilfred abre la caja, aparece el peluche, lo examina y lo abraza. Drive conserva tres videos de producción relacionados, no un archivo 260 único ni necesariamente el render final. Se cierra la excepción a nivel de publicación y conjunto de producción; no se inventa un 260.",,,1036844829507460_122143141185072582,https://www.facebook.com/reel/911880681976378/,Wilfred_holding_plush_toy_202607300618.mp4; Wilfred_holding_plush_unimpressed_202607300634.mp4; Cat_carrying_box_to_Wilfred_202607300636.mp4
CNT-003,Trailer 001 — Universe Sent Me (teaser cinematográfico),@char_USM_universe,"@char_USM_wilfred, @char_USM_fantasma",Trailer / Teaser,"YouTube, Instagram, TikTok, Facebook",Teaser de marca del universo narrativo — presentar Resonancia como hilo conductor,,Pendiente de producción,Alta,"Alta (5 shots, música folk-orquestal, edición)",No (pieza única de marca),No publicado,08_Production/Trailers/Trailer_001.md,"9:16, ~32s, 5 shots + música",Marca / Narrativa / Resonancia,No,Production_Pending,Canon_Clear_or_Unverified,,,No_Confirmed_Match,None,,No se encontró una coincidencia explícita CNT↔260 en el repositorio o en la búsqueda de Drive utilizada para este lote.,,,,,
CNT-004,La Búsqueda del Frasco Olvidado (mini-historia serializada),@char_USM_universe,"@char_USM_wilfred, @char_USM_fantasma, @char_USM_elara",Mini-historia serializada,Instagram (carruseles + reels por capítulo),Contenido narrativo serializado que desarrolla el Motor Narrativo,,Bloqueado,Media,"Alta (10 capítulos, múltiples formatos)",Sí (episodios individuales),No publicado,Canon_Contradictions_Report.md,Carruseles + Reels por capítulo,Narrativa / Serial,Sí — 5 contradicciones de canon activas,Blocked_Operational,Canon_Review_Required,,,No_Confirmed_Match,None,,No se encontró una coincidencia explícita CNT↔260 en el repositorio o en la búsqueda de Drive utilizada para este lote.,,,,,
CNT-005,HB-001: Wilfred existencial vs humorístico,@char_USM_wilfred,,Experimento Growth OS,"Instagram, YouTube Shorts",Validar hipótesis de retención por tono en contenido de Wilfred,Los videos de Wilfred con tono existencial retienen más que los de tono puramente humorístico,Pendiente de aprobación,Media,Media (requiere 2 variantes del mismo concepto),Sí (diseño de experimento reutilizable),No publicado,GrowthOS/Integracion_Growth_OS.md,Reel (2 variantes),Experimento / Datos,Sí — pendiente aprobación Fernando,Pending_Approval,Canon_Review_Required,,,No_Confirmed_Match,None,,No se encontró una coincidencia explícita CNT↔260 en el repositorio o en la búsqueda de Drive utilizada para este lote.,,,,,
CNT-006,Tarot de Universe (contenido evergreen),@char_USM_universe,,Foto / Carrusel / Reel,"Instagram, Facebook",Formato viral establecido — tarot con Universo como protagonista,El tarot es el activo viral principal del canal,Reutilizable,Alta,Baja (formato ya probado),Sí,Histórico en Facebook (viral),Analytics (Fotos: 1.36M vistas),Foto + Carrusel + Reel,Tarot / Humor / Evergreen,No,Reuse_Candidate,Canon_Clear_or_Unverified,,,No_Confirmed_Match,None,,No se encontró una coincidencia explícita CNT↔260 en el repositorio o en la búsqueda de Drive utilizada para este lote.,,,,,
CNT-007,Wilfred — sabiduría del bosque (contenido filosófico),@char_USM_wilfred,,Foto / Reel / Frase,"Instagram, Facebook",Posicionar a Wilfred como voz filosófica seca del universo,,Idea,Media,Baja,Sí,No publicado,Canon — Personajes/Wilfred,Foto / Reel / Frase,Filosofía / Humor seco,No,Idea,Canon_Clear_or_Unverified,,,No_Confirmed_Match,None,,No se encontró una coincidencia explícita CNT↔260 en el repositorio o en la búsqueda de Drive utilizada para este lote.,,,,,
CNT-008,Elara — cartas mágicas y astrología,@char_USM_elara,,Foto / Reel / Carrusel,"Instagram, TikTok","Desarrollar identidad diferenciada de Elara (no tarot, sino astrología/naturaleza)",,Idea,Media,Media (nuevo personaje activo),Sí,No publicado,Canon — Personajes/Elara,Foto / Reel / Carrusel,Astrología / Naturaleza / Mística,No (pero cuidado: no duplicar rol de tarot de Universe),Idea,Canon_Review_Required,,,No_Confirmed_Match,None,,No se encontró una coincidencia explícita CNT↔260 en el repositorio o en la búsqueda de Drive utilizada para este lote.,,,,,
CNT-009,Payaso — humor absurdo / Silvio,@char_USM_payaso,,Reel / Meme / Frase,"Instagram, TikTok, Facebook",Activar al Payaso como vehículo de humor absurdo,,Idea,Baja,Baja,Sí,No publicado,Canon — Personajes/Payaso,Reel / Meme / Frase,Humor absurdo,Sí — nombre 'Silvio' no confirmado por Fernando,Idea,Canon_Review_Required,,,No_Confirmed_Match,None,,No se encontró una coincidencia explícita CNT↔260 en el repositorio o en la búsqueda de Drive utilizada para este lote.,,,,,
CNT-010,Ganso — contenido,@char_USM_ganso,,Reel / Foto / Frase,"Instagram, Facebook",Desarrollar identidad de contenido para el Ganso,,Idea,Baja,"Media (personaje secundario, aún sin ficha visual)",Sí,No publicado,Canon — Personajes/Ganso,Reel / Foto / Frase,Humor / Absurdo,No (pero ficha visual aún no aprobada),Idea,Canon_Review_Required,,,No_Confirmed_Match,None,,No se encontró una coincidencia explícita CNT↔260 en el repositorio o en la búsqueda de Drive utilizada para este lote.,,,,,
CNT-011,Kiri (Hada) — contenido mágico,@char_USM_hada,,Reel / Foto,"Instagram, TikTok",Activar a la Hada como vehículo de magia y naturaleza,,Idea,Baja,"Alta (personaje nuevo, sin ficha visual)",Sí,No publicado,Canon — Personajes/Hada,Reel / Foto,Magia / Naturaleza,No (pero ficha visual aún no aprobada),Idea,Canon_Review_Required,,,No_Confirmed_Match,None,,No se encontró una coincidencia explícita CNT↔260 en el repositorio o en la búsqueda de Drive utilizada para este lote.,,,,,
