meta_id,date,character_hypothesis,interactions,shares,comments,caption_queue,caption_meta_exact,caption_source,meta_created_time,permalink_url,rule_based_treatment,proposed_caption_treatment,treatment_confidence,classification_method,rationale,manual_review_status,caption_confidence_final,notes
1036844829507460_122130196011072582,2026-06-13,Universe visual candidate,164,42,2,,Alguna ligueme... Yo no sé 😔,Meta_Raw_message,2026-06-13T16:44:43+0000,https://www.facebook.com/122146890051072582/posts/122130196011072582,caption_refuerzo,caption_refuerzo,Medium,Rule_based_proposal_v1_plus_manual_review,Short declarative caption that may reinforce the visual reading; manual confirmation required.,Analyst_Reviewed,Medium,Visual review confirms a short self-description that reinforces the image; outlier remains excluded from causal caption inference.
1036844829507460_122125544019072582,2026-06-01,Wilfred visual candidate,18,2,0,,#universesentme #relatable #fblifestyle #vidareal #rockstar,Meta_Raw_message,2026-06-01T18:52:05+0000,https://www.facebook.com/reel/1906363553379974/,caption_minimo,caption_minimo,High,Rule_based_proposal_v1_plus_manual_review,Short text dominated by emojis/hashtags or a minimal remate.,Analyst_Reviewed,High,Hashtags only; no semantic addition beyond the visual remate.
1036844829507460_122125520661072582,2026-06-01,Universe visual candidate,15,1,1,,"Yo esperando que se haga tarde

➡ Síguenos o  si no ""𝒎𝒊𝒄𝒉𝒊𝒔 𝒎𝒊𝒂𝒖𝒔"" va llorar... 😳

 #UniverseSentMe #CrisisExistencial #Fblifestyle #relatable #Despertar #NoMeArrepiento #whatif #VidaReal #Amanecer #rockstar",Meta_Raw_message,2026-06-01T15:00:19+0000,https://www.facebook.com/122146890051072582/posts/122125520661072582,caption_conversacional,caption_conversacional,High,Rule_based_proposal_v1_plus_manual_review,Question or invitation/CTA detected; manual confirmation required.,Analyst_Reviewed,High,Explicit Síguenos CTA and humorous conditional; conversational treatment confirmed.
1036844829507460_122134608507072582,2026-06-30,Ganso visual candidate,14,2,3,,"Ya le entendí a la vida banda...
#universesentme #merlin #fifaworldcup",Meta_Raw_message,2026-06-30T18:45:48+0000,https://www.facebook.com/reel/1049041731412120/,caption_refuerzo,caption_minimo,High,Rule_based_proposal_v1_plus_manual_review,Short declarative caption that may reinforce the visual reading; manual confirmation required.,Analyst_Reviewed,High,Caption repeats the visual text and adds hashtags; reclassified from caption_refuerzo to caption_minimo.
1036844829507460_122130329817072582,2026-06-14,Fantasma visual candidate,13,1,0,,"Piensalo bien...
#universesentme #fun #humorácido #humornegro",Meta_Raw_message,2026-06-15T04:05:38+0000,https://www.facebook.com/reel/1518053389684402/,caption_minimo,caption_minimo,High,Rule_based_proposal_v1_plus_manual_review,Short text dominated by emojis/hashtags or a minimal remate.,Analyst_Reviewed,High,Short reaction plus hashtags; minimal accompaniment confirmed.
1036844829507460_122128989885072582,2026-06-10,Universe visual candidate,11,0,2,,😣😣🫠,Meta_Raw_message,2026-06-10T15:16:01+0000,https://www.facebook.com/122146890051072582/posts/122128989885072582,caption_minimo,caption_minimo,High,Rule_based_proposal_v1_plus_manual_review,Short text dominated by emojis/hashtags or a minimal remate.,Analyst_Reviewed,High,Emoji-only reaction; visual carries the full meaning.
1036844829507460_122134065975072582,2026-06-27,Wilfred visual candidate,10,1,3,,#universesentme #vidareal #destiny,Meta_Raw_message,2026-06-28T02:24:09+0000,https://www.facebook.com/reel/2159954351459805/,caption_minimo,caption_minimo,High,Rule_based_proposal_v1_plus_manual_review,Short text dominated by emojis/hashtags or a minimal remate.,Analyst_Reviewed,High,Hashtags only; radio/music theme retained as a confounder.
1036844829507460_122131071243072582,2026-06-16,Mixed roster candidate; identities unconfirmed,9,0,0,,"¡Un saludo a mis nuevos seguidores! ¡Estoy feliz de que me sigan! Alex Villa, Yami Wakeshima, Alexis Alvarez, Areli Salgado, Afner Perales Calderón, Elias Jose Flores, Claudia Lucero, Brayan Nuñez - Rodríguez, José Ramírez, Jacobo Espinosa, Noveltis Hathor, Lupillo Piña, Manny Starr, Carlos Mendez, Alex Lopez, Jennifer Patlan, Aliss Leon, Lala Vega, Miguel Angel Zarate, Mao Morán, Daniel Carrillo, Carlos Emanuel Aruquipa, Suria Mancilla, Estiven López, Miguel Mazariegos, Fernanda Camarena, Eder R. Dimas, Evelin Calani Jarro, Jaime RV, Claudia Salas, Josue Medrano, الكسندر الكسندر, Jorge Xeloma, Berenice EM, Fractal Sobre Ruedas, Luis Alberto Roman Leovano, D'Santis Boreal, Liz Padilla, Brenda Justiniano Mendez, Olbia Moreno, Noside Sollavec, Mata Torres O Ivan, Danneey PL, Xair Bodden, Flor Morales, Jorge Abraham Coloma Cuadra, Paulina Melo, Valter Jaimes Miranda, Dilan OG, Angel Romero",Meta_Raw_message,2026-06-16T23:19:11+0000,https://www.facebook.com/122146890051072582/posts/122131071243072582,caption_conversacional,caption_conversacional,High,Rule_based_proposal_v1_plus_manual_review,Question or invitation/CTA detected; manual confirmation required.,Analyst_Reviewed,High,"Follower thank-you and explicit roster; conversational caption confirmed, but content is a mixed-roster control."
1036844829507460_122134055109072582,2026-06-27,Unidentified magical woman,9,0,1,,"Demagoga? 🤔
#universesentme #universo #podcast",Meta_Raw_message,2026-06-27T22:39:11+0000,https://www.facebook.com/reel/1339119487723234/,caption_conversacional,caption_refuerzo,Medium,Rule_based_proposal_v1_plus_manual_review,Question or invitation/CTA detected; manual confirmation required.,Analyst_Reviewed,Medium,"Interrogative label reads as reaction/semantic reinforcement, not an invitation to reply; identity remains unconfirmed."
1036844829507460_122130324285072582,2026-06-14,Universe visual candidate,7,0,0,,No te tenías que pasar dr brg.. u.u,Meta_Raw_message,2026-06-15T02:04:23+0000,https://www.facebook.com/reel/983943094638387/,caption_conversacional,caption_refuerzo,Medium,Rule_based_proposal_v1_plus_manual_review,Question or invitation/CTA detected; manual confirmation required.,Analyst_Reviewed,Medium,Colloquial interpersonal reaction adds tone but no CTA; reinforcement confirmed.
1036844829507460_122126239515072582,2026-06-03,Unknown woman + cat,6,0,1,,😣,Meta_Raw_message,2026-06-03T13:13:26+0000,https://www.facebook.com/122146890051072582/posts/122126239515072582,caption_minimo,caption_minimo,High,Rule_based_proposal_v1_plus_manual_review,Short text dominated by emojis/hashtags or a minimal remate.,Analyst_Reviewed,High,Emoji-only reaction; mixed subjects prevent primary-character inference.
1036844829507460_122130309663072582,2026-06-14,Wilfred visual candidate,6,2,0,,No corras por correr...,Meta_Raw_message,2026-06-14T20:54:54+0000,https://www.facebook.com/reel/26897361879960074/,caption_refuerzo,caption_refuerzo,Medium,Rule_based_proposal_v1_plus_manual_review,Short declarative caption that may reinforce the visual reading; manual confirmation required.,Analyst_Reviewed,Medium,Visual review confirms reinforcement; retain ambiguity note Short_reinforcement_vs_minimal.
1036844829507460_122133424479072582,2026-06-24,Silvio visual candidate,5,1,0,,"Pero que le voy hacer...

#UniverseSentMe #cosasquepasan #vidareal #payaso #humor",Meta_Raw_message,2026-06-24T20:42:40+0000,https://www.facebook.com/122146890051072582/posts/122133424479072582,caption_conversacional,caption_refuerzo,Medium,Rule_based_proposal_v1_plus_manual_review,Question or invitation/CTA detected; manual confirmation required.,Analyst_Reviewed,Medium,Resigned interpersonal phrase reinforces the visual self-deprecating remate; no CTA.
1036844829507460_122130032151072582,2026-06-12,Wilfred visual candidate,4,0,0,,De que me hablas??,Meta_Raw_message,2026-06-12T23:14:51+0000,https://www.facebook.com/reel/1302082018796959/,caption_conversacional,caption_refuerzo,High,Rule_based_proposal_v1_plus_manual_review,Question or invitation/CTA detected; manual confirmation required.,Analyst_Reviewed,High,Interrogative repeats and reinforces Wilfred's visual voice; not a public CTA.
1036844829507460_122133558903072582,2026-06-26,Universe visual candidate,4,1,0,,#vidagatuna,Meta_Raw_message,2026-06-26T17:42:02+0000,https://www.facebook.com/reel/1682105286427938/,caption_minimo,caption_minimo,High,Rule_based_proposal_v1_plus_manual_review,Short text dominated by emojis/hashtags or a minimal remate.,Analyst_Reviewed,High,Hashtag only; visual text is self-contained.
1036844829507460_122126670549072582,2026-06-04,Wilfred visual candidate,3,0,0,,"Fiesta.. 😁
#universesentme #music",Meta_Raw_message,2026-06-04T23:00:43+0000,https://www.facebook.com/reel/1478285706922671/,caption_minimo,caption_minimo,High,Rule_based_proposal_v1_plus_manual_review,Short text dominated by emojis/hashtags or a minimal remate.,Analyst_Reviewed,High,"Short phrase, emoji and music hashtag add no new semantic layer; music retained as a confounder."
1036844829507460_122125895013072582,2026-06-02,Fantasma visual candidate,2,0,0,,,Queue_caption_fallback,2026-06-02T18:40:51+0000,https://www.facebook.com/reel/1883510432222967/,historical_unavailable,historical_unavailable,High,Rule_based_proposal_v1_plus_manual_review,Meta raw contains no message text.,Analyst_Reviewed,High,No Meta message exists; do not infer a caption from the text embedded in the image.
